code	creator	created_t	last_modified_t	product_name	quantity	manufacturing_places	stores	countries	ingredients_text
3270190156208	charlesnepote	1360402366	1484421271	Couscous semi-complet - grains moyens bio	500 g		Carrefour	France	Semoule semi complète de _blé_ dur biologique.
3560070718573	sebleouf	1428331065	1441483813	Crackers au sésame & au pavot	100 g	France	Carrefour	France	Farine de _blé_, huiles végétales (colza, tournesol), sucre, _graines de sésame_ 4,8%, graines de pavot 2,4%, poudres à lever : phosphates de calcium - carbonates de sodium - carbonates d'ammonium, farine d'_orge_ maltée, sel, sirop de sucre inverti caramélisé, épices, extrait de levure, thym, arôme naturel (contient _blé_), oignon en poudre, extrait de poivre noir.
3560070806300	sebleouf	1428330108	1484500101	Crunchy Muesli Mûres entières, Figues & Mangues	400 g	Allemagne	Carrefour	France	muesli croustillant 75% [(flocons d'_avoine_ 31%, sucre, flocons de _blé_ 10%, huile de palme, riz extrudé (riz 3.6%, sucre, gluten de _blé_, farine de malt d'_orge_), noix de coco rapée, sirop de glucose-fructose de _blé_ et de maïs, sel, sirop de caramel, arôme, extrait de malt d'_orge_], pétales de riz et de _blé_ 10% (riz 6%_blé_ complet 1.5%, sucre, gluten de _blé_, extrait de malt d'_orge_, _lait_ écrémé en poudre, farine de _blé_, sel, germe de _blé_), pétales de maïs sucrés à l'enrobage de pâte à glacer à base de graisse végétale et de _lait_ écrémé fermenté 8% (pâte à glaçage à base de graisse végétale et de _lait_ écrémé fermenté (sucre, graisse de palme, _lactose_, _lait_ écrémé en poudre fermenté (sucre, graisse de palme, _lactose_, _lait_ écrémé en poudre fermenté, émulsifiant : lécithine de tournesol), pétales de maïs sucrés (maïs 1.2%, sucre, sel, extrait de malt d'_orge_), fruits lyophilisés (mûres entières 2%, morceaux de figues 2%, morceaux de mangues 2%, huile de palme).
3560070814572	openfoodfacts-contributors	1446912982	1455474333	Crème légère Fluide (12 % MG)	1 L	Laiterie de Saint-Denis-de-l'Hôtel (LSDH) - 10 Route de l'Aérodrome - Les Grandes Beaugines - 45550 Saint-Denis-de-l'Hôtel,Loiret,Centre-Val de Loire,France	Carrefour	France	_Crème_ légère,  protéines de _lait_ , stabilisants (carraghénanes , cellulose , gomme de cellulose). 
3560070048427	jeanbono	1438430966	1439141542	Cônes vanille	720 ml	France	Carrefour	France	Glace à la vanille en décor 35% : eau, _lait_ écrémé reconstitué, sirop de glucose-fructose, sucre, _lactosérum_ en poudre, graisse de coprah, émulsifiant : mono- et diglycérides d'acides gras, épaississants : farine de graines de caroube et gomme guar, arôme naturel de vanille, arôme naturel, colorant : caroténoïdes  Glace à la vanille en garniture 35% : eau, _lait_ écrémé reconstitué, sirop de glucose-fructose, sucre, _lactosérum_ en poudre, graisse de coprah, émulsifiant : mono- et diglycérides d'acides gras, épaississants : farine de graines de caroube et gomme guar, arôme naturel, arôme naturel de vanille, gousse de vanille épuisées broyées, colorant : rocou et caroténoïdes  Gaufrettes 16,8% : farine de _blé_, sucre, graisse de coprah, émulsifiant : lécithine de _soja_, sel  Chemisage et décor au cacao maigre 11% : graisse de coprah, sucre, cacao maigre en poudre 1%, émulsifiant : lécithine de _soja_  Morceaux croquants à la noisette 2,2% : sucre, _noisettes_ 0,4%
3560070712878	openfoodfacts-contributors	1394314634	1473017064	Dosettes café Corsé Bio	112 g (16 x 7 g)	Belgique	Carrefour	France	café (100% du poids total).
3270190199359	big-brother	1369498254	1434044338	Dés de Jambon	150 g (2 x 75 g)	Géo - Zone d'Activités Nord - ZA Ablis Nord - 78660 Ablis,Yvelines,Île-de-France,France	Carrefour	France	Jambon de porc français 80 %, eau, sel acidifiant : lactate de potassium, sirop de glucose, dextrose, arômes, antioxydant : érythorbate de sodium, conservateur : nitrite de sodium.  
3270190171058	openfoodfacts-contributors	1401983921	1441901330	Eau de source de Montagne	75 cl 		Carrefour	France	Eau de source.
3560070100484	openfoodfacts-contributors	1460652971	1474718333	Edam	200 g (x 10)	Pays-Bas	Carrefour	France	_Lait_ de vache pasteurisé, sel, ferments _lactiques_, coagulant microbien
3560070179886	phoenix	1437290325	1459586190	Emmental	200g - 10 tranches		Carrefour	France	_Lait_ de vache pasteurisé, sel, ferments _lactiques_, coagulant microbien
